Age,BreastWt,Breed,Farm,Glucose,Lipase,LiveWt
28,45678,BRAHMAXXXXXXXXX,FARM00001,5800,12300,950000
29,46210,SILKIEXXXXXXXXX,FARM00002,5650,11900,940000
30,47050,BRAHMAAAAAAAAAA,FARM00003,5920,12750,965000
31,47980,SILKIEAAAAAAAAA,FARM00004,5710,12050,955000
32,48600,BRAHMAZZZZZZZZZ,FARM00005,6020,12900,975000
33,49120,SILKIEZZZZZZZZZ,FARM00006,5840,12100,960000
34,49980,BRAHMAQQQQQQQQQ,FARM00007,6110,13050,985000
35,50430,SILKIEQQQQQQQQQ,FARM00008,5780,12250,970000
36,51200,BRAHMAWWWWWWWWW,FARM00009,6000,12800,990000
37,51950,SILKIEWWWWWWWWW,FARM00010,5690,12020,980000
